Data;Rondonia;Acre;Amazonas;Roraima;Para;Amapa;Tocantins;Maranhao;Piaui;Ceara;Rio Grande do Norte;Paraiba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;Sao Paulo;Parana;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goias;Distrito Federal
jul/94;258.53;266.01;272.22;357.26;297.65;276.68;261.45;263.27;209.60;232.07;273.90;243.26;224.13;249.95;231.97;225.89;214.76;220.13;267.00;274.15;263.97;223.00;285.18;276.15;234.76;236.56;282.64
ago/94;261.68;272.98;273.82;362.17;295.59;278.76;260.71;261.76;209.29;239.48;276.65;243.12;222.34;247.19;231.43;226.10;212.85;216.24;266.82;268.62;262.87;220.75;283.07;273.38;228.01;236.21;284.15
set/94;260.07;269.79;271.07;362.69;293.79;274.47;254.83;258.39;213.82;231.32;268.49;239.35;220.10;245.45;227.11;227.14;212.65;212.05;262.78;266.28;260.67;218.28;272.35;272.91;226.96;231.98;282.57
out/94;257.52;277.31;273.25;403.21;295.58;273.23;258.04;259.77;219.16;232.01;267.00;244.25;223.79;246.79;226.21;225.69;209.61;204.32;262.65;265.74;258.44;219.64;281.30;274.40;229.32;229.86;279.40
nov/94;259.82;285.32;285.96;411.14;293.75;271.23;269.47;262.39;227.00;230.35;278.29;246.38;227.72;250.63;226.69;225.68;210.16;204.67;262.91;269.51;259.18;222.01;283.36;273.96;229.89;229.40;276.21
dez/94;261.37;293.86;287.57;415.77;308.91;278.02;273.84;275.07;228.99;235.14;281.04;262.27;231.56;258.80;233.58;228.28;223.00;212.77;265.38;271.85;261.16;222.56;286.17;277.32;243.35;230.36;277.97
jan/95;264.99;302.30;306.65;402.14;317.28;278.50;275.77;283.25;238.17;238.05;286.78;265.65;233.64;265.07;240.61;230.08;225.54;214.65;268.04;275.74;268.09;224.76;290.27;278.94;245.00;233.95;283.65
fev/95;268.28;302.13;310.07;404.03;316.84;282.50;276.52;287.68;239.72;242.09;289.10;274.14;234.78;271.80;241.12;250.46;230.39;213.93;270.63;279.35;273.10;227.75;293.86;281.24;252.28;237.01;289.55
mar/95;268.04;302.87;311.64;401.84;321.02;279.62;275.56;288.44;243.53;245.02;290.25;273.93;236.37;273.41;243.07;253.21;234.41;216.84;285.13;287.13;281.86;239.37;298.24;282.55;257.01;244.51;290.35
abr/95;272.98;311.91;316.71;409.99;324.40;286.07;277.82;291.17;243.56;260.37;292.93;279.16;238.50;274.31;245.64;255.80;240.96;220.84;300.61;298.22;288.72;255.97;305.69;306.28;260.53;248.70;292.21
mai/95;278.01;315.30;317.18;417.71;336.75;305.76;278.06;297.91;244.18;269.40;296.52;282.98;241.16;299.98;250.68;261.35;244.20;223.17;306.94;303.40;291.02;265.14;310.29;307.29;265.07;267.66;313.44
jun/95;297.29;330.44;320.00;429.60;333.95;308.01;315.05;314.55;258.88;270.48;309.88;290.69;242.71;302.28;263.96;263.19;255.99;226.78;307.88;342.33;292.94;293.50;330.21;313.51;289.12;269.63;314.59
jul/95;299.52;331.04;339.30;431.08;337.97;312.43;316.75;317.09;260.52;276.97;311.68;292.44;244.31;305.81;267.10;267.21;256.51;230.87;309.64;347.60;309.10;301.54;345.73;316.25;293.60;273.38;321.88
ago/95;300.17;334.14;339.92;428.29;337.81;314.72;318.64;322.04;260.43;277.40;314.12;294.89;247.12;306.78;265.61;270.13;260.91;235.66;312.93;349.34;313.16;303.04;346.07;320.53;294.95;273.01;323.79
set/95;301.56;330.76;338.30;433.18;345.87;311.52;318.90;321.36;260.41;286.53;315.73;296.91;248.95;305.95;268.27;270.11;258.48;241.56;312.59;349.76;314.62;304.23;346.84;319.01;293.02;274.62;327.18
